15:16:25  28/10/2018:click chuot trai: X = 294 ; Y = 158
15:16:25  28/10/2018:click dup chuot trai: X = 294 ; Y = 158
15:16:25  28/10/2018:click chuot trai: X = 294 ; Y = 158
15:16:26  28/10/2018:click chuot trai: X = 316 ; Y = 132
15:16:30  28/10/2018:click chuot trai: X = 270 ; Y = 388
15:16:56  28/10/2018:click chuot trai: X = 788 ; Y = 3
15:18:38  28/10/2018:click chuot trai: X = 271 ; Y = 398
15:18:38  28/10/2018:click dup chuot trai: X = 271 ; Y = 398
15:18:38  28/10/2018:click chuot trai: X = 271 ; Y = 398
15:18:39  28/10/2018:click dup chuot trai: X = 271 ; Y = 398
15:18:39  28/10/2018:click chuot trai: X = 270 ; Y = 400
15:18:39  28/10/2018:click dup chuot trai: X = 270 ; Y = 400
15:18:40  28/10/2018:click chuot trai: X = 282 ; Y = 119
15:18:40  28/10/2018:click dup chuot trai: X = 282 ; Y = 119
15:18:41  28/10/2018:click chuot trai: X = 282 ; Y = 119
15:18:41  28/10/2018:click dup chuot trai: X = 282 ; Y = 119
15:18:42  28/10/2018:click chuot trai: X = 285 ; Y = 119
15:18:42  28/10/2018:click dup chuot trai: X = 285 ; Y = 119
15:18:42  28/10/2018:click chuot trai: X = 285 ; Y = 119
15:18:42  28/10/2018:click dup chuot trai: X = 285 ; Y = 119
15:18:43  28/10/2018:click chuot trai: X = 285 ; Y = 119
15:18:43  28/10/2018:click chuot trai: X = 329 ; Y = 123
15:18:43  28/10/2018:click dup chuot trai: X = 329 ; Y = 123
15:18:44  28/10/2018:click chuot trai: X = 315 ; Y = 155
15:18:44  28/10/2018:click dup chuot trai: X = 315 ; Y = 155
15:18:45  28/10/2018:click chuot trai: X = 311 ; Y = 120
15:18:53  28/10/2018:click chuot trai: X = 19 ; Y = 34
15:18:53  28/10/2018:click dup chuot trai: X = 19 ; Y = 34
15:18:53  28/10/2018:click chuot trai: X = 19 ; Y = 34
15:18:54  28/10/2018:click dup chuot trai: X = 19 ; Y = 34
15:18:54  28/10/2018:click chuot trai: X = 19 ; Y = 34
15:20:15  28/10/2018:click chuot trai: X = 467 ; Y = 53
15:20:15  28/10/2018:click chuot phai: X = 469 ; Y = 53
15:20:16  28/10/2018:click chuot trai: X = 445 ; Y = 49
